,index,epoch,low,high,open,close,volume,date
158,141,1623722400,39912.13,40232.62,39943.75,40209.58,130.80639603,2021-06-15 02:00:00
159,140,1623723300,40165.0,40417.48,40213.69,40388.39,190.37160924,2021-06-15 02:15:00
160,139,1623724200,40088.07,40392.42,40389.04,40155.7,86.53493221,2021-06-15 02:30:00
161,138,1623725100,40078.57,40300.0,40157.52,40287.79,127.06356961,2021-06-15 02:45:00
162,137,1623726000,40282.48,40581.0,40282.48,40350.01,110.15265944,2021-06-15 03:00:00
163,136,1623726900,40350.0,40537.58,40350.0,40433.27,106.5333981,2021-06-15 03:15:00
164,135,1623727800,40419.69,40580.89,40433.26,40445.0,117.64212367,2021-06-15 03:30:00
165,134,1623728700,40342.95,40604.99,40445.0,40430.01,188.75595216,2021-06-15 03:45:00
166,133,1623729600,40316.15,40520.87,40430.01,40405.07,73.01936299,2021-06-15 04:00:00
167,132,1623730500,40315.85,40472.76,40405.07,40410.28,68.23152275,2021-06-15 04:15:00
168,131,1623731400,40393.46,40579.0,40410.29,40552.69,94.86025134,2021-06-15 04:30:00
169,130,1623732300,40441.51,40602.72,40552.68,40530.39,109.53839329,2021-06-15 04:45:00
170,129,1623733200,40391.7,40555.92,40530.38,40414.37,75.6377622,2021-06-15 05:00:00
171,128,1623734100,40254.32,40437.32,40414.37,40357.94,70.36499362,2021-06-15 05:15:00
172,127,1623735000,40251.57,40456.63,40361.0,40315.8,119.09740335,2021-06-15 05:30:00
173,126,1623735900,40217.82,40408.64,40315.8,40351.7,67.45413912,2021-06-15 05:45:00
174,125,1623736800,40277.85,40471.87,40351.7,40450.39,73.1565987,2021-06-15 06:00:00
175,124,1623737700,40444.95,40525.07,40453.5,40471.64,66.01985832,2021-06-15 06:15:00
176,123,1623738600,40305.01,40472.14,40468.2,40364.65,79.4492115,2021-06-15 06:30:00
177,122,1623739500,40237.55,40364.65,40364.64,40295.58,40.38738407,2021-06-15 06:45:00
178,121,1623740400,40112.78,40343.74,40295.57,40219.62,83.6549892,2021-06-15 07:00:00
179,120,1623741300,40116.63,40308.86,40224.97,40273.15,88.595325,2021-06-15 07:15:00
180,119,1623742200,40180.6,40383.15,40279.56,40219.84,78.64479538,2021-06-15 07:30:00
181,118,1623743100,40219.84,40389.89,40219.84,40389.89,69.96402187,2021-06-15 07:45:00
182,117,1623744000,40250.0,40420.17,40389.89,40288.6,51.97652073,2021-06-15 08:00:00
183,116,1623744900,40283.4,40411.25,40288.6,40313.96,67.27638217,2021-06-15 08:15:00
184,115,1623745800,39930.0,40313.95,40313.95,39984.18,137.45919322,2021-06-15 08:30:00
185,114,1623746700,39679.79,40054.55,39984.18,39810.42,268.31865216,2021-06-15 08:45:00
186,113,1623747600,39563.04,39840.93,39814.88,39689.43,243.27602289,2021-06-15 09:00:00
187,112,1623748500,39704.58,40244.89,39704.58,40129.86,183.29782859,2021-06-15 09:15:00
188,111,1623749400,39960.71,40178.33,40129.86,40051.95,128.38593088,2021-06-15 09:30:00
189,110,1623750300,39907.44,40141.28,40053.33,40111.01,89.65069126,2021-06-15 09:45:00
190,109,1623751200,39967.37,40212.49,40111.01,40012.77,101.12422504,2021-06-15 10:00:00
191,108,1623752100,39916.21,40082.98,40012.77,40034.99,86.0808462,2021-06-15 10:15:00
192,107,1623753000,39930.48,40081.01,40034.97,40019.16,149.7810364,2021-06-15 10:30:00
193,106,1623753900,39906.5,40060.26,40019.16,39927.26,39.43186522,2021-06-15 10:45:00
194,105,1623754800,39925.3,40073.93,39925.3,40017.39,52.45807489,2021-06-15 11:00:00
195,104,1623755700,39954.76,40075.4,40023.19,39975.33,96.41044389,2021-06-15 11:15:00
196,103,1623756600,39687.17,40000.01,39975.33,39790.02,131.85753283,2021-06-15 11:30:00
197,102,1623757500,39681.48,39869.95,39793.28,39838.73,85.56439526,2021-06-15 11:45:00
198,101,1623758400,39776.79,40171.42,39838.74,40171.42,209.44954639,2021-06-15 12:00:00
199,100,1623759300,40031.96,40171.73,40171.41,40079.76,112.02822376,2021-06-15 12:15:00
200,99,1623760200,39882.97,40080.84,40079.76,39914.02,124.6251821,2021-06-15 12:30:00
201,98,1623761100,39880.84,40448.64,39912.62,40430.62,270.79414023,2021-06-15 12:45:00
202,97,1623762000,40216.79,40435.51,40435.51,40232.49,184.92029915,2021-06-15 13:00:00
203,96,1623762900,40160.06,40323.66,40232.49,40266.4,147.68077346,2021-06-15 13:15:00
204,95,1623763800,40168.95,40337.36,40261.8,40290.02,270.60273246,2021-06-15 13:30:00
205,94,1623764700,40177.76,40389.4,40290.03,40296.96,264.57908804,2021-06-15 13:45:00
206,93,1623765600,40019.33,40340.01,40296.97,40216.24,299.3727727,2021-06-15 14:00:00
207,92,1623766500,39930.19,40250.84,40211.56,40029.2,287.37415563,2021-06-15 14:15:00
208,91,1623767400,39868.63,40087.0,40029.2,40000.01,352.1281457,2021-06-15 14:30:00
209,90,1623768300,39932.12,40099.15,40000.0,40010.06,245.30673854,2021-06-15 14:45:00
210,89,1623769200,39728.08,40047.62,40004.37,39943.27,254.46961496,2021-06-15 15:00:00
211,88,1623770100,39818.04,40018.57,39943.26,40003.8,233.76458949,2021-06-15 15:15:00
212,87,1623771000,39900.0,40047.62,40003.8,39928.32,138.39938954,2021-06-15 15:30:00
213,86,1623771900,39917.69,40073.69,39928.31,40053.61,149.03824081,2021-06-15 15:45:00
214,85,1623772800,39986.1,40194.0,40054.95,40129.48,224.14940413,2021-06-15 16:00:00
